President,E,A,C,N,O,
Washington,28.000000,16.000000,98.600000,40.000000,14.000000,
Adams,9.000000,1.000000,87.000000,98.000000,61.000000,
Jefferson,23.000000,51.000000,78.000000,59.000000,99.100000,
Madison,6.000000,62.000000,90.000000,46.000000,62.000000,
"Adams, J. Q.",1.000000,11.000000,94.000000,99.600000,98.000000,
Jackson,99.000000,0.100000,31.000000,56.000000,0.500000,
Van Buren,78.000000,16.000000,82.000000,23.000000,31.000000,
Polk,22.000000,10.000000,51.000000,79.000000,21.000000,
Fillmore,39.000000,82.000000,86.000000,26.000000,46.000000,
Pierce,75.000000,54.000000,67.000000,76.000000,37.000000,
Buchanan,12.000000,13.000000,96.000000,53.000000,5.000000,
Lincoln,75.000000,76.000000,75.000000,82.000000,95.000000,
Grant,69.000000,54.000000,9.000000,21.000000,2.300000,
"Harrison, B.",27.000000,39.000000,96.000000,71.000000,30.000000,
"Roosevelt, T.",99.970000,2.000000,89.000000,32.000000,56.000000,
Taft,81.000000,51.000000,59.000000,65.000000,1.000000,
Wilson,37.000000,13.000000,99.200000,75.000000,64.000000,
Harding,99.870000,66.000000,4.000000,46.000000,10.000000,
Coolidge,0.400000,18.000000,97.000000,86.000000,17.000000,
Hoover,2.400000,6.000000,98.300000,81.000000,8.000000,
"Roosevelt, F.",99.800000,10.000000,27.000000,14.000000,45.000000,
Truman,95.000000,33.000000,90.000000,75.000000,1.700000,
Eisenhower,71.000000,33.000000,98.000000,30.000000,29.000000,
Kennedy,99.600000,11.000000,5.000000,27.000000,82.000000,
"Johnson, L.",99.400000,0.100000,72.000000,95.000000,7.000000,
Nixon,7.000000,0.020000,98.000000,97.000000,14.000000,
Ford,91.000000,53.000000,69.000000,15.000000,8.000000,
Carter,58.000000,56.000000,98.500000,76.000000,77.000000,
Reagan,98.300000,26.000000,9.000000,4.000000,10.000000,
Clinton,99.900000,24.000000,5.000000,58.000000,82.000000,
