,,,,,,,,,,,,,
Shuttle Run,,0.92,0.65,0.59,0.19,0.11,0.30,0.29,0.30,0.30,0.29,0.22,0.37
Shuttle run with object,,    ,0.63,0.58,0.20,0.27,0.30,0.30,0.29,0.29,0.22,0.16,0.30
Hopping speed,,    ,    ,0.47,0.16,0.17,0.22,0.44,0.22,0.14,0.19,0.08,0.28
Zigzag run,,    ,    ,    ,0.18,0.26,0.33,0.32,0.30,0.20,0.22,0.20,0.30
"One foot balance",,    ,    ,    ,    ,0.11,0.29,0.29,0.25,0.07,0.18,0.22,-0.01
Multistage fitness test,,    ,    ,    ,    ,    ,0.17,0.32,0.18,0.10,0.15,0.13,-0.01
"One foot balance, blind",,    ,    ,    ,    ,    ,    ,0.21,0.25,0.18,0.17,0.13,0.06
40m sprint,,    ,    ,    ,    ,    ,    ,    ,0.37,0.21,0.21,0.23,0.20
Dynamic balance,,    ,    ,    ,    ,    ,    ,    ,    ,0.33,0.47,0.21,0.11
Quadrant jump,,    ,    ,    ,    ,    ,    ,    ,    ,    ,0.18,0.08,-0.10
Hopping in square,,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,0.18,0.08
Vertical jump,,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,0.26
Basketball throw,,,,,,,,,,,,,
