# Plot Line Tracer Export
# Calibration Data
# BottomLeft: PixelX=125, PixelY=363.45001220703125, PlotX=2020, PlotY=0
# TopRight: PixelX=733, PixelY=19.45001220703125, PlotX=2050, PlotY=8.5
# Data
Line,Point,PixelX,PixelY,PlotX,PlotY
1,1,109.00,371.45,2019.210526,-0.197674
1,2,137.00,349.45,2020.592105,0.345930
1,3,175.00,318.45,2022.467105,1.111919
1,4,201.00,288.45,2023.750000,1.853198
1,5,225.00,263.45,2024.934211,2.470930
1,6,243.00,230.45,2025.822368,3.286337
1,7,276.00,157.45,2027.450658,5.090116
1,8,300.00,102.45,2028.634868,6.449128
1,9,318.00,53.45,2029.523026,7.659884
1,10,326.00,22.45,2029.917763,8.425872
2,1,109.00,368.45,2019.210526,-0.123547
2,2,136.00,353.45,2020.542763,0.247093
2,3,161.00,336.45,2021.776316,0.667151
2,4,174.00,322.45,2022.417763,1.013081
2,5,195.00,299.45,2023.453947,1.581395
2,6,212.00,281.45,2024.292763,2.026163
2,7,223.00,258.45,2024.835526,2.594477
2,8,232.00,234.45,2025.279605,3.187500
2,9,243.00,213.45,2025.822368,3.706395
2,10,261.00,171.45,2026.710526,4.744186
2,11,272.00,136.45,2027.253289,5.609012
2,12,281.00,90.45,2027.697368,6.745640
2,13,286.00,22.45,2027.944079,8.425872
3,1,110.00,370.45,2019.259868,-0.172965
3,2,137.00,352.45,2020.592105,0.271802
3,3,174.00,326.45,2022.417763,0.914244
3,4,202.00,291.45,2023.799342,1.779070
3,5,231.00,252.45,2025.230263,2.742733
3,6,261.00,203.45,2026.710526,3.953488
3,7,280.00,177.45,2027.648026,4.595930
3,8,302.00,143.45,2028.733553,5.436047
3,9,316.00,115.45,2029.424342,6.127907
3,10,331.00,76.45,2030.164474,7.091570
3,11,345.00,22.45,2030.855263,8.425872
4,1,111.00,369.45,2019.309211,-0.148256
4,2,140.00,347.45,2020.740132,0.395349
4,3,167.00,328.45,2022.072368,0.864826
4,4,193.00,303.45,2023.355263,1.482558
4,5,222.00,274.45,2024.786184,2.199128
4,6,235.00,242.45,2025.427632,2.989826
4,7,252.00,216.45,2026.266447,3.632267
4,8,272.00,189.45,2027.253289,4.299419
4,9,287.00,179.45,2027.993421,4.546512
4,10,320.00,163.45,2029.621711,4.941860
4,11,348.00,155.45,2031.003289,5.139535
4,12,419.00,147.45,2034.506579,5.337209
4,13,522.00,136.45,2039.588816,5.609012
4,14,638.00,126.45,2045.312500,5.856105
4,15,735.00,122.45,2050.098684,5.954942
5,1,110.00,371.45,2019.259868,-0.197674
5,2,138.00,353.45,2020.641447,0.247093
5,3,163.00,333.45,2021.875000,0.741279
5,4,185.00,310.45,2022.960526,1.309593
5,5,216.00,275.45,2024.490132,2.174419
5,6,227.00,257.45,2025.032895,2.619186
5,7,235.00,238.45,2025.427632,3.088663
5,8,243.00,222.45,2025.822368,3.484012
5,9,269.00,211.45,2027.105263,3.755814
5,10,284.00,208.45,2027.845395,3.829942
5,11,306.00,202.45,2028.930921,3.978198
5,12,333.00,195.45,2030.263158,4.151163
5,13,363.00,172.45,2031.743421,4.719477
5,14,373.00,154.45,2032.236842,5.164244
5,15,382.00,129.45,2032.680921,5.781977
5,16,394.00,110.45,2033.273026,6.251453
5,17,418.00,72.45,2034.457237,7.190407
5,18,429.00,49.45,2035.000000,7.758721
5,19,439.00,18.45,2035.493421,8.524709
6,1,108.00,370.45,2019.161184,-0.172965
6,2,139.00,353.45,2020.690789,0.247093
6,3,174.00,330.45,2022.417763,0.815407
6,4,195.00,305.45,2023.453947,1.433140
6,5,218.00,277.45,2024.588816,2.125000
6,6,228.00,257.45,2025.082237,2.619186
